Date,mortes,mortes_vacinados,casos,hospitalizados,infectados_vacinados,vacinados,hospitalizados_vacinados
2020-04-02,1,0,51,4,0,0,0
2020-04-03,1,0,45,6,0,0,0
2020-04-06,1,0,80,2,0,0,0
2020-04-10,2,0,119,5,0,0,0
2020-04-14,2,0,114,3,0,0,0
2020-04-15,4,0,181,10,0,0,0
2020-04-16,4,0,129,6,0,0,0
2020-04-17,1,0,189,14,0,0,0
2020-04-18,1,0,188,9,0,0,0
2020-04-19,1,0,160,2,0,0,0
2020-04-21,2,0,162,7,0,0,0
2020-04-22,5,0,205,15,0,0,0
2020-04-23,2,0,192,8,0,0,0
2020-04-24,5,0,218,18,0,0,0
2020-04-25,3,0,223,18,0,0,0
2020-04-26,2,0,204,14,0,0,0
2020-04-27,3,0,243,12,0,0,0
2020-04-28,1,0,215,18,0,0,0
2020-04-29,4,0,231,17,0,0,0
2020-04-30,3,0,311,18,0,0,0
2020-05-01,2,0,586,11,0,0,0
2020-05-02,4,0,323,18,0,0,0
2020-05-03,5,0,320,21,0,0,0
2020-05-04,8,0,422,25,0,0,0
2020-05-05,2,0,463,16,0,0,0
2020-05-06,2,0,362,23,0,0,0
2020-05-07,8,0,425,35,0,0,0
2020-05-08,8,0,501,19,0,0,0
2020-05-09,7,0,394,30,0,0,0
2020-05-10,4,0,676,29,0,0,0
2020-05-11,7,0,621,27,0,0,0
2020-05-12,7,0,612,45,0,0,0
2020-05-13,4,0,614,43,0,0,0
2020-05-14,13,0,692,41,0,0,0
2020-05-15,8,0,915,35,0,0,0
2020-05-16,13,0,648,31,0,0,0
2020-05-17,8,0,606,40,0,0,0
2020-05-18,6,0,1015,49,0,0,0
2020-05-19,8,0,792,43,0,0,0
2020-05-20,8,0,1234,46,0,0,0
2020-05-21,8,0,752,52,0,0,0
2020-05-22,18,0,942,63,0,0,0
2020-05-23,22,0,842,51,0,0,0
2020-05-24,19,0,744,61,0,0,0
2020-05-25,16,0,1316,64,0,0,0
2020-05-26,22,0,915,64,0,0,0
2020-05-27,18,0,951,77,0,0,0
2020-05-28,23,0,1166,85,0,0,0
2020-05-29,21,0,1138,57,0,0,0
2020-05-30,21,0,1039,79,0,0,0
2020-05-31,22,0,732,58,0,0,0
2020-06-01,21,0,2007,84,0,0,0
2020-06-02,22,0,1290,79,0,0,0
2020-06-03,19,0,1242,65,0,0,0
2020-06-04,21,0,1320,80,0,0,0
2020-06-05,31,0,1485,82,0,0,0
2020-06-06,31,0,1362,73,0,0,0
2020-06-07,31,0,1033,77,0,0,0
2020-06-08,27,0,1662,66,0,0,0
2020-06-09,24,0,1424,83,0,0,0
2020-06-10,26,0,2104,104,0,0,0
2020-06-11,13,0,1312,92,0,0,0
2020-06-12,31,0,1688,82,0,0,0
2020-06-13,28,0,1632,85,0,0,0
2020-06-14,29,0,1733,79,0,0,0
2020-06-15,28,0,3156,88,0,0,0
